,used_tokens,used_resume_bullet_gen,prompted_payment,used_resume_builder,industry,career_status,job_time,resume_experience,Days
34843,0.0,0.0,1.0,1.0,2,2,0,1,14
27719,0.0,1.0,1.0,1.0,7,0,1,2,22
9526,0.0,0.0,1.0,1.0,7,2,1,1,59
34104,1.0,0.0,1.0,1.0,0,0,2,0,15
1747,1.0,1.0,1.0,1.0,1,0,0,1,119
33820,0.0,0.0,1.0,1.0,0,2,1,1,15
6646,9.0,0.0,1.0,1.0,6,0,2,0,60
14360,0.0,1.0,1.0,1.0,0,0,1,1,53
16287,2.0,1.0,1.0,1.0,0,0,0,1,47
8823,22.0,0.0,1.0,1.0,0,0,0,2,59
23303,2.0,1.0,1.0,1.0,2,0,2,0,27
10709,0.0,0.0,1.0,1.0,1,0,0,0,59
10655,0.0,1.0,1.0,1.0,4,2,2,0,59
9715,0.0,0.0,1.0,1.0,0,2,3,1,59
22171,0.0,0.0,1.0,1.0,3,0,0,0,28
25743,0.0,1.0,1.0,0.0,0,0,0,2,26
16680,5.0,1.0,1.0,1.0,1,0,0,1,46
17861,0.0,0.0,1.0,1.0,10,1,0,3,37
20881,0.0,0.0,1.0,1.0,0,2,0,1,28
12096,0.0,1.0,1.0,1.0,10,1,0,0,57
12457,4.0,0.0,1.0,1.0,3,0,0,0,56
15822,0.0,0.0,1.0,1.0,0,0,1,1,48
25696,6.0,1.0,1.0,1.0,0,1,0,1,26
23640,1.0,0.0,1.0,1.0,0,0,0,0,27
12167,0.0,0.0,1.0,1.0,1,1,3,2,57
25168,8.0,1.0,1.0,1.0,0,0,1,0,26
36012,3.0,0.0,1.0,1.0,0,0,0,0,13
32216,20.0,1.0,1.0,1.0,0,2,3,0,18
13152,11.0,1.0,1.0,1.0,1,0,2,2,54
14307,8.0,1.0,1.0,1.0,13,1,3,2,53
25823,1.0,0.0,1.0,1.0,1,1,3,3,26
18534,0.0,0.0,1.0,1.0,5,2,3,0,29
2765,0.0,0.0,0.0,0.0,1,0,0,0,117
11497,0.0,1.0,1.0,1.0,2,0,1,0,57
18003,0.0,0.0,1.0,1.0,3,2,0,1,35
16930,0.0,0.0,1.0,1.0,0,2,1,1,45
14854,0.0,0.0,1.0,1.0,2,0,1,0,52
22014,1.0,1.0,1.0,1.0,1,2,0,0,28
688,0.0,0.0,0.0,0.0,2,0,0,1,132
2096,0.0,0.0,0.0,0.0,2,0,2,0,118
20768,1.0,1.0,1.0,1.0,3,2,0,1,28
21311,0.0,1.0,1.0,1.0,1,0,0,1,28
11775,6.0,1.0,1.0,1.0,1,0,0,2,57
8346,0.0,0.0,1.0,1.0,0,1,1,0,59
17588,0.0,0.0,1.0,0.0,0,1,2,0,40
